"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"7660226" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660227" 1.326 0.983775 -0.153883 0.156872 -0.180235 0.524876 0.122026 12.6851 3.27952 -204.171
"7660228" 1.34827 1.0122 -0.178844 0.196368 -0.273185 0.537562 0.116731 12.0124 3.5766 -200.157
"7660229" 1.35002 1.04991 -0.146644 0.165238 -0.224725 0.506637 0.134672 11.3792 3.80371 -202.326
"7660230" 1.35138 0.964096 -0.222599 0.182012 -0.192401 0.542051 0.120113 12.9645 3.39694 -205.379
"7660231" 1.3207 1.02384 -0.170143 0.154123 -0.27514 0.523758 0.120902 12.6624 3.73982 -199.579
"7660232" 1.30149 1.14393 -0.152601 0.173429 -0.254179 0.479594 0.099587 13.4279 4.93101 -197.974
"7660233" 1.36986 0.9794 -0.198364 0.178434 -0.240388 0.530045 0.122582 11.8138 3.39651 -204.151
"7660234" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660235" 1.326 0.983775 -0.153883 0.156872 -0.180235 0.524876 0.122026 12.6851 3.27952 -204.171
"7660236" 1.3389 1.02424 -0.19055 0.195924 -0.258768 0.530684 0.117323 12.0199 3.57268 -200.45
"7660237" 1.34096 1.04882 -0.138664 0.163113 -0.230897 0.509112 0.136988 11.381 3.81979 -202.486
"7660238" 1.34806 0.961746 -0.214618 0.172525 -0.182003 0.551403 0.111531 12.9557 3.37721 -204.607
